senate 1: Table 1
 New Hampshire - General Election,,,,,
State Senate District 1  ,,,,,
"November 5, 2024","Rusty Talbot, d","David Rochefort, r",Undervotes,Overvotes,Write-Ins
Plainfield,"1,075 ",554 ,84 ,1,0
Plymouth,"1,859 ","1,372 ",242 ,0,11
Springfield,409 ,495 ,43 ,0,2
Wentworth,207 ,390 ,,,0
Totals,"23,028 ","11,709 ","1,744 ",2 ,42 

senate 6: Table 1
New Hampshire - General Election,,,,,
State Senate District 6  ,,,,,
"November 5, 2024","John Ceskavich, d","James P. Gray, r",Undervotes,Overvotes,Write-Ins
Alton,"1,223","2,790",242,0,0
Gilmanton,870,"1,658",159,0,0
Farmington,"1,250",2173,267,0,1
New Durham,631,"1,202",115,0,0
Rochester Ward 1,1301,1563,156,0,1
Rochester Ward 2,"1,250","1,606",178,0,2
Rochester Ward 3,"1,190","1,636",181,0,3
Rochester Ward 4,"1,208","1,418",177,0,2
Rochester Ward 5,"1,193","1,694",145,0,2
Rochester Ward 6,"1,140","1,267",117,0,1
Strafford,"1,227",1554,222,0,1
Totals,"12,483","18,561","1,959",0,13

senate 7: Table 1
New Hampshire  - General Election,,,,,
State Senate District 7 ,,,,,
"November 5, 2024","Stu Green, d","Daniel Innis, r",Undervotes,Overvotes,Write-Ins
Alexandria,387 ,678 ,63 ,3,1
Andover,811 ,736 ,71 ,1,0
Boscawen,850 ,"1,169 ",168 ,0,2
Bradford,506 ,556 ,53 ,1,3
Bridgewater,346 ,489 ,45 ,0,0
Bristol,872 ,"1,076 ",112 ,0,0
Danbury,298 ,495 ,40 ,0,1
Franklin Ward 1,538 ,877 ,100 ,0,0
Franklin Ward 2,606 ,726 ,95 ,0,2
Franklin Ward 3,665 ,839 ,81 ,0,2
Goshen,152 ,299 ,33 ,0,0
Grafton,300 ,455 ,40 ,0,1
Hebron,221 ,309 ,33 ,0,0
Henniker,"1,408 ","1,347 ",150 ,1,1
Hill,211 ,419 ,40 ,0,0
Hillsborough,"1,338 ","1,956 ",160 ,0,2
Newbury,802 ,822 ,82 ,0,0
Orange,82 ,110 ,11 ,0,0
Salisbury,370 ,591 ,49 ,0,0
Sutton,690 ,695 ,54 ,0,0
Tilton,870 ,"1,229 ",155 ,0,1
Warner,952 ,887 ,94 ,0,0
Webster,526 ,703 ,73 ,0,1
Wilmot,536 ,425 ,56 ,0,0
Totals,"14,337 ","17,888 ","1,858 ",6 ,17 

senate 8: Table 1
New Hampshire  - General Election,,,,,
State Senate District 8,,,,,
"November 5, 2024","David Trumble, d","Ruth Ward, r",Undervotes,Overvotes,Write-Ins
Acworth, 	259 , 	297 , 	29 ,0,0
Antrim, 	732 , 	892 , 	67 ,0,0
Bennington, 	358 , 	481 , 	60 ,1,0
Charlestown," 	1,001 "," 	1,385 ", 	142 ,0,4
Claremont Ward 1, 	800 , 	814 , 	116 ,0,0
Claremont Ward 2," 	1,021 "," 	1,131 ", 	142 ,0,1
Claremont Ward 3, 	834 ," 	1,026 ", 	114 ,0,0
Croydon, 	170 , 	360 , 	49 ,0,0
Deering, 	379 , 	713 , 	68 ,0,1
Dunbarton, 	780 ," 	1,228 ", 	110 ,0,0
Francestown, 	549 , 	608 , 	49 ,0,0
Gilsum, 	222 , 	269 , 	30 ,0,0
Langdon, 	162 , 	241 , 	28 ,0,0
Lempster, 	272 , 	443 , 	37 ,0,0
Marlow, 	220 , 	217 , 	27 ,0,0
Newport," 	1,257 "," 	1,910 ", 	175 ,0,3
Stoddard, 	412 , 	494 , 	42 ,0,1
Sunapee," 	1,117 "," 	1,284 ", 	112 ,0,0
Unity, 	267 , 	569 , 	72 ,0,0
Washington, 	306 , 	524 , 	58 ,0,0
Weare," 	2,036 "," 	3,481 ", 	233 ,0,2
Windsor, 	24 , 	96 , 	12 ,0,0
Totals,"13,178 ","18,463 ","1,772 ",1 ,12 

senate 9: Table 1
 New Hampshire - General Election,,,,,
State Senate District 9 ,,,,,
"November 5, 2024","Matthew McLaughlin, d","Denise Ricciardi, r",Undervotes,Overvotes,Write-Ins
Bedford," 	6,921 "," 	7,295 ", 	481 ,0,15
Fitzwilliam, 	650 , 	753 , 	61 ,0,2
Greenfield, 	529 , 	527 , 	36 ,0,1
Hinsdale, 	952 , 	878 , 	95 ,0,0
Jaffrey," 	1,544 "," 	1,562 ", 	123 ,0,0
Lyndeborough, 	542 , 	587 , 	52 ,0,1
Mont Vernon, 	977 , 	854 , 	63 ,0,0
New Boston," 	1,841 "," 	2,057 ", 	129 ,0,4
Richmond, 	288 , 	438 , 	33 ,0,1
Sharon , 	146 , 	138 , 	10 ,0,0
Temple, 	449 , 	468 , 	48 ,0,0
Troy, 	451 , 	625 , 	68 ,0,1
Winchester, 	921 ," 	1,053 ", 	116 ,0,0
Totals,"16,211 ","17,235 ","1,315 ",0 ,25 


senate 10 and 11: Table 1
New Hampshire - General Election,,,,,
State Senate District 10,,,,,
"November 5, 2024","Donovan Fenton, d","Rick Merkt, r",Undervotes,Overvotes,Write-Ins
Alstead, 	645 , 	496 ,89,0,0
Chesterfield," 	1,324 "," 	1,040 ",104,0,0
Dublin, 	616 , 	432 ,91,0,0
Hancock, 	804 , 	445 ,71,2,1
Harrisville, 	511 , 	230 ,34,0,0
Keene Ward 1," 	1,482 ", 	695 ,213,1,3
Keene Ward 2," 	1,771 ", 	714 ,157,0,0
Keene Ward 3," 	1,624 ", 	759 ,113,0,2
Keene Ward 4," 	1,634 ", 	783 ,151,0,0
Keene Ward 5," 	1,941 ", 	820 ,112,1,1
Marlborough, 	767 , 	454 ,63,0,2
Nelson, 	255 , 	174 ,19,0,0
Peterborough," 	2,869 "," 	1,357 ",196,0,0
Roxbury, 	85 , 	56 ,16,0,0
Sullivan, 	192 , 	163 ,81,0,0
Surry, 	297 , 	248 ,34,0,0
Swanzey," 	2,077 "," 	1,923 ",252,3,1
Walpole," 	1,358 ", 	895 ,112,0,1
Westmoreland, 	589 , 	482 ,44,0,0
Totals,"20,841","12,166",1952,7,11
,,,,,
New Hampshire - General Election,,,,,
State Senate District 11,,,,,
"November 5, 2024","Shannon E. Chandley, d","Tim McGough, r",Undervotes,Overvotes,Write-Ins
Amherst," 	4,323 "," 	3,580 ",273,1,0
Merrimack," 	7,797 "," 	8,943 ",965,0,9
Milford," 	4,434 "," 	4,682 ",382,0,8
Wilton," 	1,213 "," 	1,235 ",99,0,0
Totals,"17,767","18,440","1,719",1,17

senate 12 and 13: Table 1
New Hampshire - General Election,,,,,,
State Senate District 12,,,,,,
"November 5, 2024","Ben Ming, d","Kevin A. Avard, r",Undervotes,Overvotes,Write-Ins,
Brookline," 	1,571 "," 	2,000 ",125,0,2,
Greenville, 	372 , 	607 ,61,0,0,
Hollis," 	2,804 "," 	2,901 ",163,0,2,
Mason, 	318 , 	599 ,48,0,0,
Nashua Ward 1," 	2,839 "," 	3,049 ",267,0,3,
Nashua Ward 2," 	2,730 "," 	2,689 ",302,0,5,
Nashua Ward 5," 	3,039 "," 	3,184 ",331,0,6,
New Ipswich, 	783 ," 	2,408 ",107,0,1,
Rindge," 	1,187 "," 	2,404 ",173,0,2,
Totals,"15,643","19,841","1,577",0,21,
,,,,,,
,,,,,,
,,,,,,
New Hampshire - General Election,,,,,,
State Senate District 13  ,,,,,,
"November 5, 2024","Cindy Rosenwald, d","Stephen Scaer, r",Undervotes,Overvotes,Write-Ins,
Nashua Ward 3,2525,1836,286,0,8,
Nashua Ward 4,1687,1114,247,0,0,
Nashua Ward 6,2287,1828,312,0,5,
Nashua Ward 7,2175,1785,326,0,4,
Nashua Ward 8,2691,1891,278,0,3,
Nashua Ward 9,2969,2459,313,0,3,
Totals,"14,334","10,913","1,762",0,23,

Senate 14 - 16: Table 1
New Hampshire - General Election,,,,,
State Senate District 14,,,,,
"November 5, 2024","Kara Roy, d","Sharon M. Carson, r",Undervotes,Overvotes,Write-Ins
Auburn," 	1,416 "," 	2,466 ", 	203 ,0,2
Hudson," 	5,748 "," 	8,044 ", 	901 ,0,6
Londonderry," 	6,447 "," 	8,919 ", 	933 ,0,16
Totals,"13,611","19,429","2,037",0,24
,,,,,
,,,,,
New Hampshire - General Election,,,,,
State Senate District 15,,,,,
"November 5, 2024","Tara Reardon, d","Pamela Ean, r",Undervotes,Overvotes,Write-Ins
Bow," 	2,960 "," 	2,210 ", 	263 ,0,6
Concord Ward 1," 	1,464 ", 	980 , 	130 ,0,6
Concord Ward 2," 	1,280 ", 	911 , 	110 ,0,0
Concord Ward 3, 	818 , 	483 , 	88 ,0,1
Concord Ward 4," 	1,570 ", 	726 , 	103 ,0,8
Concord Ward 5," 	2,004 ", 	752 , 	129 ,0,4
Concord Ward 6," 	1,271 ", 	686 , 	155 ,1,9
Concord Ward 7," 	1,892 ", 	895 , 	154 ,0,10
Concord Ward 8," 	1,337 ", 	929 , 	147 ,0,2
Concord Ward 9," 	1,332 ", 	715 , 	148 ,1,6
Concord Ward 10," 	1,865 "," 	1,093 ", 	154 ,0,0
Hopkinton," 	2,479 "," 	1,532 ", 	204 ,0,1
Totals,"20,272","11,912","1,785",2,53
,,,,,
,,,,,
, ,,,,
New Hampshire - General Election,,,,,
State Senate District 16,,,,,
"November 5, 2024","Michael York, d","Keith Murphy, r",Undervotes,Overvotes,Write-Ins
Candia, 	921 ," 	1,873 ", 	162 ,0,1
Goffstown," 	4,508 "," 	5,426 ", 	641 ,0,7
Hooksett," 	3,627 "," 	4,834 ", 	531 ,0,6
Manchester Ward 1," 	2,943 "," 	2,433 ", 	302 ,0,9
Raymond," 	2,081 "," 	3,869 ", 	392 ,0,16
Totals,"14,080","18,435","2,028",0,39

senate 17-18: Table 1
New Hampshire - General Election,,,,,
State Senate District 17,,,,,
"November 5, 2024","Kelly Roberts, d","Howard Pearl, r",Undervotes,Overvotes,Write-Ins
Allenstown," 	1,124 "," 	1,370 ", 	161 ,1,2
Barnstead," 	1,124 "," 	1,890 ", 	141 ,0,3
Canterbury, 	874 , 	803 , 	78 ,0,0
Chichester, 	678 ," 	1,050 ", 	133 ,0,0
Deerfield," 	1,563 "," 	1,731 ", 	104 ,0,1
Epsom," 	1,065 "," 	1,855 ", 	127 ,0,2
Loudon," 	1,220 "," 	2,359 ", 	158 ,1,2
Northfield," 	1,030 "," 	1,560 ", 	211 ,0,2
Northwood," 	1,262 "," 	1,578 ", 	132 ,1,0
Nottingham," 	1,668 "," 	1,889 ", 	138 ,0,1
Pembroke," 	2,076 "," 	2,246 ", 	217 ,0,3
Pittsfield, 	772 ," 	1,431 ", 	132 ,0,0
Totals,"14,456","19,762","1,732",3,16
,,,,,
,,,,,
New Hampshire - General Election,,,,,
State Senate District 18,,,,,
"November 5, 2024","Donna M. Soucy, d","Victoria Sullivan, r",Undervotes,Overvotes,Write-Ins
Litchfield," 	2,247 "," 	2,973 ",,,5
Manchester Ward 5," 	1,422 "," 	1,205 ", 	202 ,1,2
Manchester Ward 6," 	2,496 "," 	2,595 ", 	242 ,0,1
Manchester Ward 7," 	1,905 "," 	1,760 ", 	214 ,0,0
Manchester Ward 8," 	2,494 "," 	2,739 ", 	254 ,0,2
Manchester Ward 9," 	1,977 "," 	2,017 ", 	190 ,1,8
Totals,"12,541","13,289","1,102",2,18

senate 19-21: Table 1
New Hampshire - General Election,,,,,
State Senate District 19 ,,,,,
"November 5, 2024","Michelle Moge, d","Regina M. Birdsell, r",Undervotes,Overvotes,Write-Ins
Derry," 	7,010 ",9878,1180,1,26
Hampstead," 	1,983 ",3732,352,0,2
Windham," 	3,563 ",5895,672,0,13
Totals," 	12,556 ",19505,2204,1,41
,,,,,
,,,,,
,,,,,
New Hampshire - General Election,,,,,
State Senate District 20,,,,,
"November 5, 2024","Pat Long, d","Brittany Ping, r",Undervotes,Overvotes,Write-Ins
Manchester Ward 2," 	2,883 "," 	2,065 ",296,1,5
Manchester Ward 3," 	2,051 "," 	1,231 ",203,1,4
Manchester Ward 4," 	1,921 "," 	1,518 ",242,0,7
Manchester Ward 10," 	2,095 "," 	1,898 ",280,0,5
Manchester Ward 11," 	1,844 "," 	1,602 ",223,0,3
Manchester Ward 12," 	2,365 "," 	1,976 ",260,5,3
Totals," 	13,159 "," 	10,290 ",1504,7,27
,,,,,
New Hampshire - General Election,,,,,
State Senate District 21 ,,,,,
"November 5, 2024","Rebecca Perkins Kwoka, d","Don Cardinale, r",Undervotes,Overvotes,Write-Ins
Durham,5465," 	2,122 ", 	881 ,0,12
Lee ,1773," 	1,003 ", 	148 ,0,2
Madbury,748, 	472 , 	88 ,0,0
New Castle,493, 	318 , 	46 ,0,2
Newfields,670, 	530 , 	79 ,0,1
Newington,277, 	315 , 	35 ,0,0
Newmarket,3646," 	2,077 ", 	284 ,0,5
Portsmouth Ward 1,1901, 	865 , 	2 ,0,8
Portsmouth Ward 2,2296, 	770 , 	145 ,0,3
Portsmouth Ward 3,1879," 	1,003 ", 	163 ,0,1
Portsmouth Ward 4,1538, 	971 , 	147 ,1,3
Portsmouth Ward 5,2014, 	709 , 	120 ,0,1
Totals,22700," 	11,155 "," 	2,138 ",1,38
 , , , ,,

senate 22-24: Table 1
New Hampshire - General Election,,,,,,,,
State Senate District 22 ,,,,,,,,
"November 5, 2024","Wayne Haubner, d","Daryl Abbas, r",Undervotes,Overvotes,Write-Ins,,,
Atkinson,1857,3099,209,4,2,,,
Pelham,2975,5794,480,0,2,,,
Plaistow,1657,2807,275,0,1,,,
Salem,6410,11192,1081,4,4,,,
Totals,12899,22892,2045,8,9,,,
,,,,,,,,
,,,,,,,,
New Hampshire - General Election,,,,,,,,
State Senate District 23,,,,,,,,
"November 5, 2024","Brenda Oldak, d","Bill Gannon, r",Undervotes,Overvotes,Write-Ins,,,
Brentwood," 	1,361 "," 	1,639 ", 	130 ,1,0,,,
Chester," 	1,198 "," 	2,193 ", 	157 ,0,5,,,
Danville, 	884 ," 	1,828 ", 	164 ,0,4,,,
East Kingston, 	668 , 	980 , 	79 ,0,1,,,
Epping," 	1,899 "," 	2,824 ", 	243 ,0,2,,,
Fremont," 	1,046 "," 	1,935 ", 	150 ,0,17,,,
Kensington, 	714 , 	808 , 	73 ,0,0,,,
Kingston," 	1,450 "," 	2,474 ", 	249 ,0,0,,,
Newton," 	1,109 "," 	1,777 ", 	173 ,0,1,,,
Sandown," 	1,327 "," 	2,744 ", 	164 ,0,2,,,
Seabrook," 	1,721 "," 	3,128 ", 	362 ,0,4,,,
South Hampton, 	271 , 	340 , 	26 ,0,0,,,
Totals," 	13,648 "," 	22,670 "," 	1,970 ",1,36,,,
,,,,,,,,
,,,,,,,,
New Hampshire - General Election,,,,,,,,
State Senate District 24,,,,,,,,
"November 5, 2024","Debra Altschiller, d","Patrick Abrami, r",Undervotes,Overvotes,Write-Ins, ,,
Exeter," 	6,267 "," 	3,673 ", 	472 , 	1 ,3,,,
Greenland," 	1,501 "," 	1,373 ", 	129 , 	-   ,0,,,
Hampton," 	5,017 "," 	4,978 ", 	496 , 	-   ,3,,,
Hampton Falls, 	716 , 	958 , 	75 , 	2 ,0,,,
North Hampton," 	1,732 "," 	1,569 ", 	149 , 	-   ,3,,,
Rye," 	2,291 "," 	1,924 ", 	200 , 	-   ,4,,,
Stratham," 	2,973 "," 	2,451 ", 	139 , 	-   ,1,,,
Totals," 	20,497 "," 	16,926 "," 	1,660 ", 	3 ,14,,,


Sheet1: Table 1
,,,,
