elec_date,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes,race_county_owner
11/5/2024,"FEDERAL, STATE AND COUNTY",10034,"FOR STATE REPRESENTATIVE DISTRICT 1",,42,42,1,"VICTORIA LAWHORN",LIB,83,366,1454,1903,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10034,"FOR STATE REPRESENTATIVE DISTRICT 1",,42,42,2,"EDDY DEMPSEY",REP,243,2059,9647,11949,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10037,"FOR STATE REPRESENTATIVE DISTRICT 4",,21,21,1,"BOB ED CULVER",REP,395,2404,7079,9878,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10037,"FOR STATE REPRESENTATIVE DISTRICT 4",,21,21,2,"CHRISTOPHER WIER",DEM,265,1367,3046,4678,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10045,"FOR STATE REPRESENTATIVE DISTRICT 12",,16,16,1,"MARK CHAPMAN",REP,524,4233,11423,16180,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10045,"FOR STATE REPRESENTATIVE DISTRICT 12",,16,16,2,"CRYSTAL LaGRONE",DEM,368,1177,2743,4288,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10049,"FOR STATE REPRESENTATIVE DISTRICT 16",,31,31,1,"SCOTT FETGATTER",REP,307,1647,8880,10834,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10049,"FOR STATE REPRESENTATIVE DISTRICT 16",,31,31,2,"ROSIE LYNCH",DEM,228,772,3334,4334,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10053,"FOR STATE REPRESENTATIVE DISTRICT 20",,20,20,1,"JONATHAN WILK",REP,693,2587,10894,14174,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10053,"FOR STATE REPRESENTATIVE DISTRICT 20",,20,20,2,"MITCHELL JACOB",DEM,429,1027,3080,4536,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10059,"FOR STATE REPRESENTATIVE DISTRICT 26",,14,14,1,"DELL KERBS",REP,444,2636,5823,8903,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10059,"FOR STATE REPRESENTATIVE DISTRICT 26",,14,14,2,"KERRI KECK",DEM,488,1426,3450,5364,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10067,"FOR STATE REPRESENTATIVE DISTRICT 34",,12,12,1,"ANDREW MUCHMORE",REP,190,1149,3015,4354,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10067,"FOR STATE REPRESENTATIVE DISTRICT 34",,12,12,2,"TRISH RANSON",DEM,395,1844,3911,6150,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10070,"FOR STATE REPRESENTATIVE DISTRICT 37",,22,22,1,"KEN LUTTRELL",REP,385,2280,8780,11445,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10070,"FOR STATE REPRESENTATIVE DISTRICT 37",,22,22,2,"CARTER ROGERS",IND,160,545,2416,3121,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10071,"FOR STATE REPRESENTATIVE DISTRICT 38",,44,44,1,"JOHN PFEIFFER",REP,455,2314,12287,15056,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10071,"FOR STATE REPRESENTATIVE DISTRICT 38",,44,44,2,"DOYLE LEWIS",DEM,189,466,2036,2691,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10072,"FOR STATE REPRESENTATIVE DISTRICT 39",,14,14,1,"RICHARD PRAWDZIENSKI",LIB,695,632,3186,4513,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10072,"FOR STATE REPRESENTATIVE DISTRICT 39",,14,14,2,"ERICK HARRIS",REP,2144,2295,9759,14198,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10074,"FOR STATE REPRESENTATIVE DISTRICT 41",,11,11,1,"DENISE CROSSWHITE HADER",REP,1354,2576,10397,14327,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10074,"FOR STATE REPRESENTATIVE DISTRICT 41",,11,11,2,"MIKE BOCKUS",DEM,1042,1098,4470,6610,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10076,"FOR STATE REPRESENTATIVE DISTRICT 43",,11,11,1,"JAY W. STEAGALL",REP,838,3254,7157,11249,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10076,"FOR STATE REPRESENTATIVE DISTRICT 43",,11,11,2,"CASSIE KINET",IND,535,1154,3088,4777,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10078,"FOR STATE REPRESENTATIVE DISTRICT 45",,15,15,1,"ROBERT MURPHY",LIB,36,97,435,568,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10078,"FOR STATE REPRESENTATIVE DISTRICT 45",,15,15,2,"MATT WATSON",REP,491,1994,4672,7157,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10078,"FOR STATE REPRESENTATIVE DISTRICT 45",,15,15,3,"ANNIE MENZ",DEM,917,2241,5345,8503,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10079,"FOR STATE REPRESENTATIVE DISTRICT 46",,16,16,1,"ALEXANDER W. TORVI",REP,774,2660,5570,9004,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10079,"FOR STATE REPRESENTATIVE DISTRICT 46",,16,16,2,"JACOB ROSECRANTS",DEM,1470,3225,5871,10566,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10095,"FOR STATE REPRESENTATIVE DISTRICT 62",,10,10,1,"DANIEL PAE",REP,443,1495,4582,6520,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10095,"FOR STATE REPRESENTATIVE DISTRICT 62",,10,10,2,"ALLISON OFFIELD",DEM,431,1410,3084,4925,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10096,"FOR STATE REPRESENTATIVE DISTRICT 63",,30,30,1,"TREY CALDWELL",REP,302,2011,7713,10026,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10096,"FOR STATE REPRESENTATIVE DISTRICT 63",,30,30,2,"SHYKIRA SMITH",DEM,161,492,1673,2326,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10097,"FOR STATE REPRESENTATIVE DISTRICT 64",,14,14,1,"RANDE WORTHEN",REP,297,1157,3953,5407,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10097,"FOR STATE REPRESENTATIVE DISTRICT 64",,14,14,2,"TOM SUTHERLIN",DEM,388,1117,3136,4641,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10099,"FOR STATE REPRESENTATIVE DISTRICT 66",,18,18,1,"KENNETH BLEVINS",LIB,260,569,3094,3923,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10099,"FOR STATE REPRESENTATIVE DISTRICT 66",,18,18,2,"CLAY STAIRES",REP,433,2574,9721,12728,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10103,"FOR STATE REPRESENTATIVE DISTRICT 70",,18,18,1,"BRADLEY BANKS",REP,629,914,7069,8612,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10103,"FOR STATE REPRESENTATIVE DISTRICT 70",,18,18,2,"SUZANNE E. SCHREIBER",DEM,1251,1324,8587,11162,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10107,"FOR STATE REPRESENTATIVE DISTRICT 74",,14,14,1,"MARK VANCUREN",REP,715,2532,10284,13531,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10107,"FOR STATE REPRESENTATIVE DISTRICT 74",,14,14,2,"AARON BRENT",IND,407,711,3115,4233,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10112,"FOR STATE REPRESENTATIVE DISTRICT 79",,15,15,1,"PAUL HASSINK",REP,363,674,4978,6015,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10112,"FOR STATE REPRESENTATIVE DISTRICT 79",,15,15,2,"MELISSA PROVENZANO",DEM,609,762,5856,7227,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10116,"FOR STATE REPRESENTATIVE DISTRICT 83",,15,15,1,"ERIC ROBERTS",REP,1582,1055,7932,10569,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10116,"FOR STATE REPRESENTATIVE DISTRICT 83",,15,15,2,"JIMMY LAWSON",DEM,1526,967,6009,8502,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10117,"FOR STATE REPRESENTATIVE DISTRICT 84",,15,15,1,"TAMMY WEST",REP,529,451,6124,7104,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10117,"FOR STATE REPRESENTATIVE DISTRICT 84",,15,15,2,"JEREMY LAMB",DEM,567,344,4196,5107,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10118,"FOR STATE REPRESENTATIVE DISTRICT 85",,18,18,1,"DAVID B. HOOTEN",REP,892,695,6115,7702,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10118,"FOR STATE REPRESENTATIVE DISTRICT 85",,18,18,2,"CYNDI MUNSON",DEM,1994,1092,8918,12004,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10119,"FOR STATE REPRESENTATIVE DISTRICT 86",,30,30,1,"DAVID HARDIN",REP,246,1885,9189,11320,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10119,"FOR STATE REPRESENTATIVE DISTRICT 86",,30,30,2,"ANNE FITE",DEM,160,585,2578,3323,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10120,"FOR STATE REPRESENTATIVE DISTRICT 87",,16,16,1,"DAVE SCHNITTGER",REP,332,363,3659,4354,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10120,"FOR STATE REPRESENTATIVE DISTRICT 87",,16,16,2,"ELLYN HEFNER",DEM,724,593,5642,6959,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10121,"FOR STATE REPRESENTATIVE DISTRICT 88",,15,15,1,"ELLEN POGEMILLER",DEM,1072,1093,7446,9611,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10121,"FOR STATE REPRESENTATIVE DISTRICT 88",,15,15,2,"BOBBY McCOLLUM",IND,185,280,2426,2891,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10123,"FOR STATE REPRESENTATIVE DISTRICT 90",,12,12,1,"EMILY GISE",REP,545,1223,5212,6980,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10123,"FOR STATE REPRESENTATIVE DISTRICT 90",,12,12,2,"NANA ABRAM DANKWA",DEM,329,555,2667,3551,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10127,"FOR STATE REPRESENTATIVE DISTRICT 94",,11,11,1,"SUZANNE JOBE",REP,320,337,3814,4471,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10127,"FOR STATE REPRESENTATIVE DISTRICT 94",,11,11,2,"ANDY FUGATE",DEM,698,638,5533,6869,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10128,"FOR STATE REPRESENTATIVE DISTRICT 95",,12,12,1,"MAX WOLFLEY",REP,543,681,6016,7240,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10128,"FOR STATE REPRESENTATIVE DISTRICT 95",,12,12,2,"TEGAN MALONE",DEM,598,650,4916,6164,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10131,"FOR STATE REPRESENTATIVE DISTRICT 98",,12,12,1,"GABE WOOLLEY",REP,525,2463,7883,10871,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10131,"FOR STATE REPRESENTATIVE DISTRICT 98",,12,12,2,"CATHY SMYTHE",DEM,419,1267,3749,5435,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10133,"FOR STATE REPRESENTATIVE DISTRICT 100",,14,14,1,"MARILYN STARK",REP,1029,673,6115,7817,,
11/5/2024,"FEDERAL, STATE AND COUNTY",10133,"FOR STATE REPRESENTATIVE DISTRICT 100",,14,14,2,"CHAUNTE GILMORE",DEM,1093,745,5691,7529,,
11/5/2024,"TULSA COUNTY",10206,"FOR COUNTY CLERK",,251,251,1,"MICHAEL BRANDON WILLIS",REP,9122,14407,133706,157235,TULSA
11/5/2024,"TULSA COUNTY",10206,"FOR COUNTY CLERK",,251,251,2,"DON NUAM",DEM,8580,11142,74298,94020,TULSA
11/5/2024,"COAL COUNTY",10226,"FOR COUNTY SHERIFF",,9,9,1,"JASON SMITH",REP,22,496,959,1477,COAL
11/5/2024,"COAL COUNTY",10226,"FOR COUNTY SHERIFF",,9,9,2,"BRYAN JUMP",DEM,20,345,695,1060,COAL
11/5/2024,"COMANCHE COUNTY",10227,"FOR COUNTY SHERIFF",,40,40,1,"MICHAEL MERRITT",REP,1123,3828,15598,20549,COMANCHE
11/5/2024,"COMANCHE COUNTY",10227,"FOR COUNTY SHERIFF",,40,40,2,"DAVID STROUD",DEM,1065,3083,9192,13340,COMANCHE
11/5/2024,"JEFFERSON COUNTY",10245,"FOR COUNTY SHERIFF",,9,9,1,"JEREMIE WILSON",REP,18,240,761,1019,JEFFERSON
11/5/2024,"JEFFERSON COUNTY",10245,"FOR COUNTY SHERIFF",,9,9,2,"MICHAEL W. BRYANT",DEM,26,329,972,1327,JEFFERSON
11/5/2024,"MCCURTAIN COUNTY",10256,"FOR COUNTY SHERIFF",,30,30,1,"BRUCE W. SHIREY",REP,147,1532,6447,8126,MCCURTAIN
11/5/2024,"MCCURTAIN COUNTY",10256,"FOR COUNTY SHERIFF",,30,30,2,"STEVE McKEE",DEM,103,588,2349,3040,MCCURTAIN
11/5/2024,"MARSHALL COUNTY",10259,"FOR COUNTY SHERIFF",,9,9,1,"DONALD YOW",REP,148,1607,2879,4634,MARSHALL
11/5/2024,"MARSHALL COUNTY",10259,"FOR COUNTY SHERIFF",,9,9,2,"DANNY CRYER",IND,66,575,1197,1838,MARSHALL
11/5/2024,"OKLAHOMA COUNTY",10266,"FOR COUNTY SHERIFF",,290,290,1,"TOMMIE JOHNSON III",REP,18711,16608,130433,165752,OKLAHOMA
11/5/2024,"OKLAHOMA COUNTY",10266,"FOR COUNTY SHERIFF",,290,290,2,"WAYLAND CUBIT",DEM,15449,14083,89870,119402,OKLAHOMA
11/5/2024,"PONTOTOC COUNTY",10273,"FOR COUNTY SHERIFF",,20,20,1,"ARNOLD SCOTT",REP,179,1803,6548,8530,PONTOTOC
11/5/2024,"PONTOTOC COUNTY",10273,"FOR COUNTY SHERIFF",,20,20,2,"JASON R. POTTER",DEM,238,1387,4900,6525,PONTOTOC
11/5/2024,"WOODS COUNTY",10287,"FOR COUNTY SHERIFF",,6,6,1,"RANDY McCULLOUGH",REP,107,1059,1847,3013,WOODS
11/5/2024,"WOODS COUNTY",10287,"FOR COUNTY SHERIFF",,6,6,2,"KEITH DALE",IND,16,226,367,609,WOODS
11/5/2024,"CLEVELAND COUNTY",10302,"FOR COUNTY COURT CLERK",,105,105,1,"MARILYN WILLIAMS",REP,5313,19893,44144,69350,CLEVELAND
11/5/2024,"CLEVELAND COUNTY",10302,"FOR COUNTY COURT CLERK",,105,105,2,"LISA MEYER",IND,4280,11495,26847,42622,CLEVELAND
11/5/2024,"ADAIR COUNTY",10364,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",,6,6,1,"ALAN STARR",REP,37,311,1244,1592,ADAIR
11/5/2024,"ADAIR COUNTY",10364,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",,6,6,2,"JACK W CARLTON",DEM,17,139,522,678,ADAIR
11/5/2024,"GARVIN COUNTY",10388,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",,6,6,1,"TOM PYLE",REP,77,720,1745,2542,GARVIN
11/5/2024,"GARVIN COUNTY",10388,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",,6,6,2,"SHON RICHARDSON",DEM,61,333,803,1197,GARVIN
11/5/2024,"KINGFISHER COUNTY",10400,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",,4,4,1,"MIKE SPARKS",REP,43,283,1157,1483,KINGFISHER
11/5/2024,"KINGFISHER COUNTY",10400,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",,4,4,2,"DAVID ROLLER",DEM,18,58,188,264,KINGFISHER
11/5/2024,"KIOWA COUNTY",10401,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",,4,4,1,"BRENT STRAUB",REP,23,227,396,646,KIOWA
11/5/2024,"KIOWA COUNTY",10401,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",,4,4,2,"RICKY McCOLLOM",IND,23,131,318,472,KIOWA
11/5/2024,"LATIMER COUNTY",10402,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",,6,6,1,"JADEN PAUL PETTY",REP,23,166,759,948,LATIMER
11/5/2024,"LATIMER COUNTY",10402,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",,6,6,2,"JERRY JILES",DEM,10,57,373,440,LATIMER
11/5/2024,"LOVE COUNTY",10406,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",,4,4,1,"MICHAEL MAYES",REP,21,299,660,980,LOVE
11/5/2024,"LOVE COUNTY",10406,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",,4,4,2,"EDITH REDMON",DEM,5,122,214,341,LOVE
11/5/2024,"MCCURTAIN COUNTY",10408,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",,10,10,1,"TINA FOSHEE-THOMAS",REP,53,595,1473,2121,MCCURTAIN
11/5/2024,"MCCURTAIN COUNTY",10408,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",,10,10,2,"TONY HILL",DEM,55,337,907,1299,MCCURTAIN
11/5/2024,"OKFUSKEE COUNTY",10417,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",,5,5,1,"MIKE YOCHAM",REP,13,268,711,992,OKFUSKEE
11/5/2024,"OKFUSKEE COUNTY",10417,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",,5,5,2,"CHANCE SHIELDS",IND,13,112,406,531,OKFUSKEE
11/5/2024,"OTTAWA COUNTY",10421,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",,5,5,1,"ROBERT CLARK",REP,59,669,2120,2848,OTTAWA
11/5/2024,"OTTAWA COUNTY",10421,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",,5,5,2,"WAYNE REED",IND,26,183,648,857,OTTAWA
11/5/2024,"PAWNEE COUNTY",10422,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",,3,3,1,"JOE HIGGINS",REP,37,403,1087,1527,PAWNEE
11/5/2024,"PAWNEE COUNTY",10422,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",,3,3,2,"JOHN J. MASHBURN",DEM,24,155,423,602,PAWNEE
11/5/2024,"TULSA COUNTY",10435,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",,83,83,1,"LONNIE SIMS",REP,1928,3528,33320,38776,TULSA
11/5/2024,"TULSA COUNTY",10435,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",,83,83,2,"SARAH ELIZABETH GRAY",DEM,3156,4378,29990,37524,TULSA
11/5/2024,"FEDERAL, STATE AND COUNTY",20003,"SUPREME COURT DISTRICT 3",,1984,1984,1,"YES",,55740,124226,545098,725064,,
11/5/2024,"FEDERAL, STATE AND COUNTY",20003,"SUPREME COURT DISTRICT 3",,1984,1984,2,"NO",,37353,144683,535324,717360,,
11/5/2024,"FEDERAL, STATE AND COUNTY",20004,"SUPREME COURT DISTRICT 4",,1984,1984,1,"YES",,53783,123134,540146,717063,,
11/5/2024,"FEDERAL, STATE AND COUNTY",20004,"SUPREME COURT DISTRICT 4",,1984,1984,2,"NO",,39510,145368,539053,723931,,
