Lee,1657,1594,1728,927,891,910,,,1067,0,1,
Madbury,677,664,767,431,423,411,,,553,0,1,
Totals,4250,4121,4500,2455,2439,2408,,,3200,0,3,
District No. 12 (4),"Myles England, d","Dawn M. Evans, d","Wayne Pearson, d","John J. Stone, d","Ken Hilton, r","Will Milus, r","Padraic O'Hare, r","Jonathan Wilson, r",Undervotes,Overvotes,Write-Ins,
Rollinsford,906,900,862,848,752,637,670,705,780,0,0,
Somersworth Ward 1,717,742,709,707,614,538,562,589,672,0,1,
Somersworth Ward 2,502,532,495,536,513,445,470,483,717,1,6,
Somersworth Ward 3,545,570,525,539,530,458,491,513,699,0,5,
Somersworth Ward 4,762,784,758,765,587,456,499,515,724,0,2,
Somersworth Ward 5,560,582,556,566,450,391,409,416,589,0,1,
Totals,3992,4110,3905,3961,3446,2925,3101,3221,4181,1,15,
District No. 13 (1),"Peter Bixby, d","Daniel A. Furman, r",,,,,,,Undervotes,Overvotes,Write-Ins,
Dover Ward 6,1568,1345,,,,,,,182,0,0,
District No. 14 (1),"Peter B. Schmidt, d","Elliot Ross Boutin, r",,,,,,,Undervotes,Overvotes,Write-Ins,
Dover Ward 1,2255,797,,,,,,,188,0,2,
District No. 15 (1),"Alice Wade, d","Keith Mistretta, r",,,,,,,Undervotes,Overvotes,Write-Ins,
Dover Ward 2,2047,869,,,,,,,193,0,2,
District 16 (1),"Gary R. Gilmore, d","Diana M. Day, r",,,,,,,Undervotes,Overvotes,Write-Ins,
Dover Ward 3,2076,1484,,,,,,,218,0,1,
District No. 17 (1),"Jessica F. LaMontagne, d","Matthew D. Albion, r",,,,,,,Undervotes,Overvotes,Write-Ins,
Dover Ward 5,1739,983,,,,,,,182,1,1,
District No. 18 (1),"Kimberly McGlinchey, d","Michael Harrington, r",,,,,,,Undervotes,Overvotes,Write-Ins,
Barrington,2872,3103,,,,,,,357,0,0,
Middleton,329,730,,,,,,,86,0,0,
New Durham,630,1211,,,,,,,107,0,0,
Strafford,1200,1626,,,,,,,175,0,2,
Totals,5031,6670,,,,,,,725,0,2,
District No. 19 (3) FL,"Daniel Fitzpatrick, d","John Larochelle, d","Melena Lugo, d","Kelley Potenza, r","David Walker, r","Jenny O. Wilson, r",,,Undervotes,Overvotes,Write-Ins,
Rochester Ward 1,1263,1287,1241,1359,1391,1252,,,1269,0,1,
Rochester Ward 2,1278,1290,1186,1345,1412,1259,,,1333,0,5,
Rochester Ward 3,1176,1235,1129,1424,1432,1293,,,1333,3,3,
Rochester Ward 4,1223,1219,1159,1238,1291,1173,,,1111,0,1,
Rochester Ward 6,1100,1096,1066,1062,1115,993,,,1139,0,1,
Totals,6040,6127,5781,6428,6641,5970,,,6185,3,11,
District No. 20 (1) FL,"Allan Howland, d","Joseph Rowell, r",,,,,,,Undervotes,Overvotes,Write-Ins,
Dover Ward 4," 	2,035 ",1214,,,,,,,305,2,1,
Durham," 	5,361 ",2077,,,,,,,1029,0,15,
Lee," 	1,703 ",1023,,,,,,,197,0,1,
Madbury, 	725 ,469,,,,,,,114,0,0,
Totals," 	9,824 ",4783,,,,,,,1645,2,17,
District No. 21 (3) FL,"Luz Bay, d","Seth Miller, d","Geoffrey Smith, d","Renee L. Blaisdell, r","John V. Caggiano, r","Gary Fratus, r",,,Undervotes,Overvotes,Write-Ins,
Dover Ward 1," 	2,138 "," 	2,020 "," 	1,963 ", 	786 ,711,736,,,1367,3,1,
Dover Ward 2," 	1,963 "," 	1,864 "," 	1,801 ", 	838 ,789,774,,,1310,0,1,
Dover Ward 3," 	1,961 "," 	1,907 "," 	1,797 "," 	1,397 ",1346,1314,,,1614,0,3,
Dover Ward 5," 	1,609 "," 	1,575 "," 	1,471 ", 	993 ,909,898,,,1259,3,3,
Dover Ward 6," 	1,590 "," 	1,443 "," 	1,385 "," 	1,159 ",1081,1138,,,1471,0,0,
Totals," 	9,261 "," 	8,809 "," 	8,417 "," 	5,173 ",4836,4860,,,7021,6,8,
