District No. 12 (2),"Allison Knab, d","Zoe R. Manos, d","Jessica Kliskey, r","James Scamman, r",,,,,Undervotes,Overvotes,Write-Ins,,,,
Stratham,3046,2906,2053,2326,,,,,812,0,5,,,,
District No. 13 (10),"Jamie Carreau, d","Frances Keenan, d","Sanjeev Lath, d","Johnathan West, d","Elle Gallo, d",,,,Undervotes,Overvotes,Write-Ins,,,,
Derry," 	6,677 "," 	6,402 "," 	6,174 "," 	6,780 "," 	6,925 ",,,," 	66,707 ", 	80 , 	201 ,,,,
,"Richard Tripp, r","Charles Foote, r","Phyllis Katsakiores, r","Erica Layon, r","David Love, r","David E. Milz, r","Jodi Nelson, r",,,,,,,,
Derry,7831,7983,8123,8283,8646,7844,8555,,,,,,,,
,"Stephen Pearson, r","John Potucek, r","Katherine Prudhomme-O'Brien, r",,,,,,,,,,,,
Derry," 	7,889 "," 	7,942 ",7905,,,,,,,,,,,,
District No. 14 (2),"Shaw Tilton, d","Pam Brown, r","Kenneth L. Weyler, r",,,,,,Undervotes,Overvotes,Write-Ins,,,,
East Kingston,719,797,766,,,,,,1157,0,16,,,,
Kingston,1648,1994,2031,,,,,,2664,0,7,,,,
Totals,2367,2791,2797,,,,,,3821,0,23,,,,
District No. 15 (2),"Lisa DeMio, d","Laurie A. Warnock, d","Joe Guthrie, r","Lilli Walsh, r",,,,,Undervotes,Overvotes,Write-Ins,,,,
Hampstead," 	1,927 "," 	2,234 "," 	3,292 "," 	3,101 ",,,,,1580,2,2,,,,
District No. 16 (7),"William Adams, d","Bill Fanning, d","Anne H. Fenn, d","Jim Green, d","Michela Hites, d","Paul Skudlarek, d",,,Undervotes,Overvotes,Write-Ins,,,,
Londonderry," 	5,816 "," 	5,945 "," 	6,532 "," 	6,170 "," 	6,082 "," 	5,958 ",,,"24,965",35,75,,,,
 ,"Doug Thomas, r","Tom Dolan, r","Ron Dunn, r","Wayne D. MacDonald, r","David Lundgren, r","Sherman Packard, r","Kristine Perez, r",,,,,,,,
Londonderry,7302,7895,7393,6898,7917,7260,7962,,,,,,,,
District No. 17 (4),"Michael Caruso, d","David Martsolf, d","Edward Schoen, d","Marie Yanish, d",,,,,Undervotes,Overvotes,Write-Ins,,,,
Windham,3306,3501,2924,3373,,,,,,,,,,,
,"Katelyn Kuttab, r","Bob Lynn, r","Charles E. McMahon, r","Daniel Popovici-Muller, r",,,,,,,,,,,
Windham,5370,5225,5445,5236,,,,,6173,0,16,,,,
District No. 18 (2),"Michael Boucher, d","Debra L. DeSimone, r","Jay Markell, r",,,,,,Undervotes,Overvotes,Write-Ins,,,,
Atkinson,2064,2905,2540,,,,,,2825,0,13,,,,
District No. 19 (1),"Wendy Larson, d","Susan M. Porcelli, r",,,,,,,Undervotes,Overvotes,Write-Ins,,,,
Hampton Falls,681,1011,,,,,,,58,1,0,,,,
Kensington,698,835,,,,,,,61,0,0,,,,
Totals,1379,1846,,,,,,,119,1,0,,,,
District No. 20 (3),"Nancy Bishop, d","Stan G. Duncan, d","Elizabeth Kosta, d","Robert Harb, r","Charles R. Melvin Sr., r","James Summers, r",,,Undervotes,Overvotes,Write-Ins,,,,
Newton,1084,979,1076,1371,1519,1304,,,1849,0,1,,,,
Plaistow,1615,1382,1744,2643,2298,2183,,,2341,0,4,,,,
South Hampton,233,224,230,283,315,262,,,364,0,0,,,,
Totals,2932,2585,3050,4297,4132,3749,,,4554,0,5,,,,
District No. 21 (1),"Jennifer Mandelbaum, d",,,,,,,,Undervotes,Overvotes,Write-Ins,,,,
Newington,512,,,,,,,,298,0,7,,,,
Portsmouth Ward 1,2064,,,,,,,,804,0,25,,,,
Totals,2576,,,,,,,,1102,0,32,,,,
District No. 22 (1),"Kate Murray, d","Thom Rossi, r",,,,,,,Undervotes,Overvotes,Write-Ins,,,,
New Castle,502,313,,,,,,,33,1,1,,,,
Portsmouth Ward 5,1960,751,,,,,,,129,0,1,,,,
Totals,2462,1064,,,,,,,162,1,2,,,,
District No. 23 (1),"Jim Maggiore, d","Jennifer L. Smith, r",,,,,,,Undervotes,Overvotes,Write-Ins,,,,
North Hampton,1913,1414,,,,,,,125,0,1,,,,
District No. 24 (2),"Jaci Grote, d","Dennis Malloy, d","Marilyn Page, r","Kevin Szmyd, r","Lyn Leddy, i",,,,Undervotes,Overvotes,Write-Ins,,,,
Greenland,1218,1360,1209,931,534,,,,683,0,67,,,,
Rye,2261,2001,1725,1672,355,,,,822,0,1,,,,
Totals,3479,3361,2934,2603,889,,,,1505,0,68,,,,
District No. 25 (9),"Jack Connell, d","Greg F. Davis, d","Dionne Garon, d","Daniel Guild, d","Ernest M. Hicks, d","Claire Karibian, d","Donna Loranger, d",,Undervotes,Overvotes,Write-Ins,,,,
Salem,5832,5663,5596,5486,5414,6217,6068,,44697,36,56,,,,
,"Lorie Ball, r","Tanya Donnelly, r","Fred Doucette, r","John Janigian, r","Dennis Mannion, r","Valerie McDonnell, r",,,,,,,,,
Salem,9583,9399,9685,9221,8470,9084,,,,,,,,,
,"Joe Sweeney, r","John Sytek, r","Susan J. Vandecasteele, r",,,,,,,,,,,,
Salem,9723,9120,8991,,,,,,,,,,,,
District No. 26 (1),"Buzz Scherr, d",,,,,,,,Undervotes,Overvotes,Write-Ins,,,,
Portsmouth Ward 3,2042,,,,,,,,972,0,11,,,,
District No. 27 (1),"Gerald W.R. Ward, d","Diane D. Bitter, r",,,,,,,Undervotes,Overvotes,Write-Ins,,,,
Portsmouth Ward 4,1538,948,,,,,,,167,2,5,,,,
District No. 28 (1),"Carrie Sorensen, d","Sue Polidura, r",,,,,,,Undervotes,Overvotes,Write-Ins,,,,
Portsmouth Ward 2,2254,790,,,,,,,162,0,7,,,,
District No. 29 (4),"Alan S. Blair, d","Erica de Vries, d","Mike Edgar, d","Chris Muns, d",,,,,Undervotes,Overvotes,Write-Ins,,,,
Hampton," 	4,520 "," 	4,802 "," 	4,969 "," 	5,067 ",,,,,4801,0,7,,,,
,"Bruce Theriault, r","Nicholas D. Bridle, r","David Hagen, r","Ken Sheffert, r",,,,,,,,,,,
Hampton," 	4,355 "," 	4,823 "," 	4,351 "," 	4,239 ",,,,,,,,,,,
District No. 30 (2),"Bob Albright, d","Justin G. Packard, d","Aboul B. Khan, r","Matt Sabourin, r",,,,,Undervotes,Overvotes,Write-Ins,,,,
Seabrook,1733,1503,2947,2563,,,,,1670,0,10,,,,
District No. 31 (2)FL,"Dave DePuy, d","Charlotte Lister, d","Jess Edwards, r","Terry Roy, r",,,,,Undervotes,Overvotes,Write-Ins,,,,
Auburn,1261,1329,2444,2108,,,,,1031,0,5,,,,
Candia,907,889,1726,1624,,,,,766,0,1,,,,
Chester,1100,1192,2147,1894,,,,,770,0,4,,,,
Deerfield,1157,1231,1849,1771,,,,,787,0,1,,,,
Totals,4425,4641,8166,7397,,,,,3354,0,11,,,,
District No. 32 (1)FL,"Diana West, d","Melissa A. Litchfield, r",,,,,,,Undervotes,Overvotes,Write-Ins,,,,
Brentwood,1416,1595,,,,,,,114,3,3,,,,
Danville,896,1778,,,,,,,199,0,10,,,,
Fremont,1057,1895,,,,,,,178,0,11,,,,
Totals,3369,5268,,,,,,,491,3,24,,,,
District No. 33 (1)FL,"Alexis Simpson, d",,,,,,,,Undervotes,Overvotes,Write-Ins,,,,
Exeter," 	7,051 ",,,,,,,,3291,0,65,,,,
Newfields, 	742 ,,,,,,,,524,0,11,,,,
Newmarket," 	4,153 ",,,,,,,,1791,0,53,,,,
Stratham," 	3,509 ",,,,,,,,1977,0,47,,,,
Totals," 	15,455 ",,,,,,,,7583,0,176,,,,
District No. 34 (1)FL,"Jade DeMio, d","Mark A. Pearson, r",,,,,,,Undervotes,Overvotes,Write-Ins,,,,
East Kingston,633,960,,,,,,,126,0,1,,,,
Hampstead,2023,3645,,,,,,,393,6,2,,,,
Kingston,1418,2466,,,,,,,288,0,1,,,,
Totals,4074,7071,,,,,,,807,6,4,,,,
District No. 35 (1)FL,"Michelle Stith, d","Julius F. Soti, r",,,,,,,Undervotes,Overvotes,Write-Ins,,,,
Londonderry," 	6,915 ",8097,,,,,,,1602,2,25,,,,
Windham," 	4,090 ",5382,,,,,,,662,1,5,,,,
Totals," 	11,005 ",13479,,,,,,,2264,3,30,,,,
District No. 36 (1)FL,"Eric B. Miller, d","JD Bernardy, r",,,,,,,Undervotes,Overvotes,Write-Ins,,,,
Hampton Falls,711,960,,,,,,,79,1,0,,,,
Kensington,738,793,,,,,,,64,0,0,,,,
Newton,1125,1720,,,,,,,215,0,1,,,,
Plaistow,1714,2687,,,,,,,335,0,4,,,,
South Hampton,231,364,,,,,,,42,0,0,,,,
Totals,4519,6524,,,,,,,735,1,5,,,,
District No. 37 (1)FL,"James D. Meuse, d",,,,,,,,Undervotes,Overvotes,Write-Ins,,,,
New Castle,520,,,,,,,,336,0,4,,,,
Newington,320,,,,,,,,300,0,5,,,,
Portsmouth Ward 1,2061,,,,,,,,810,0,19,,,,
Portsmouth Ward 5,2090,,,,,,,,729,0,16,,,,
Totals,4991,,,,,,,,2175,0,44,,,,
District No. 38 (1) FL,"Peggy Balboni, d","Janet Larsen, i&r",,,,,,,Undervotes,Overvotes,Write-Ins,,,,
Greenland," 	1,368 ",1459,,,,,,,144,0,0,,,,
North Hampton," 	1,677 ",1622,,,,,,,153,0,1,,,,
Rye," 	2,296 ",1926,,,,,,,194,1,1,,,,
Totals," 	5,341 ",5007,,,,,,,491,1,2,,,,
District No. 39 (1) FL,"Ned Raynolds, d",,,,,,,,Undervotes,Overvotes,Write-Ins,,,,
Portsmouth Ward 2,2402,,,,,,,,780,0,31,,,,
Portsmouth Ward 3,2030,,,,,,,,978,0,8,,,,
Portsmouth Ward 4,1696,,,,,,,,943,2,19,,,,
Totals,6128,,,,,,,,2701,2,58,,,,
District No. 40 (1) FL,"John P. Carty, d","Linda McGrath, r",,,,,,,Undervotes,Overvotes,Write-Ins,,,,
Hampton,4863,5041,,,,,,,579,1,3,,,,
Seabrook,1849,2977,,,,,,,383,0,5,,,,
Totals,6712,8018,,,,,,,962,1,8,,,,
, , ,,,,,,,,,,,,,
