Table 1
DIST,CTY,MUNICIPALITY,"Daigle, Lucien J.B.","Martin, John L.",Blank,TBC,,,,,,
5,ARO,PRESQUE ISLE,1802,2200,195,4197,,,,,,
5,,STATE UOCAVA,25,10,4,39,,,,,,
,,TOTAL,1827,2210,199,4236,,,,,,
DIST,CTY,MUNICIPALITY,"Ardell, Donald James","Tompkins, Melanie A.",Blank,TBC,,,,,,
,,,Monticello,Mapleton,,,,,,,,
,,,Republican,Democratic,,,,,,,,
6,ARO,BLAINE,241,92,52,385,,,,,,
6,ARO,BRIDGEWATER,197,80,27,304,,,,,,
6,ARO,CASTLE HILL,96,111,13,220,,,,,,
6,ARO,CHAPMAN,130,124,20,274,,,,,,
6,ARO,DYER BROOK,99,32,21,152,,,,,,
6,ARO,E TWP,30,7,6,43,,,,,,
6,ARO,HAMMOND,38,14,3,55,,,,,,
6,ARO,HERSEY,28,12,2,42,,,,,,
6,ARO,LITTLETON,383,115,47,545,,,,,,
6,ARO,MAPLETON,633,517,45,1195,,,,,,
6,ARO,MARS HILL,458,259,33,750,,,,,,
6,ARO,MERRILL,96,39,6,141,,,,,,
6,ARO,MONTICELLO,338,62,23,423,,,,,,
6,ARO,MORO PLANTATION,20,3,0,23,,,,,,
6,ARO,OXBOW NORTH TWP,31,12,2,45,,,,,,
6,ARO,SMYRNA,125,41,9,175,,,,,,
6,ARO,T11 R4 WELS TWP,11,13,2,26,,,,,,
6,ARO,T7 R5 WELS TWP,3,0,0,3,,,,,,
6,ARO,TD R2 WELS TWP,0,5,0,5,,,,,,
6,ARO,WESTFIELD,167,94,17,278,,,,,,
6,,STATE UOCAVA,6,15,3,24,,,,,,
,,TOTAL,3130,1647,331,5108,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Swallow, Gregory L.",Blank,TBC,,,,,,,
,,,Houlton,,,,,,,,,
,,,Republican,,,,,,,,,
7,ARO,HOULTON,2173,557,2730,,,,,,,
7,ARO,LINNEUS,472,70,542,,,,,,,
7,ARO,LUDLOW,211,46,257,,,,,,,
7,ARO,NEW LIMERICK,304,57,361,,,,,,,
7,ARO,OAKFIELD,343,83,426,,,,,,,
7,,STATE UOCAVA,15,3,18,,,,,,,
,,TOTAL,3518,816,4334,,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Collins, Nicole J.","Quint, Tracy Lynn",Blank,TBD,,,,,,
,,,Reed Plantation,Hodgdon,,,,,,,,
,,,Democratic,Republican,,,,,,,,
8,ARO,AMITY,31,116,13,160,,,,,,
8,ARO,BENEDICTA TWP/SILVER RIDGE TWP,30,132,11,173,,,,,,
8,ARO,CRYSTAL,26,128,6,160,,,,,,
8,ARO,GLENWOOD PLANTATION,1,2,1,4,,,,,,
8,ARO,HAYNESVILLE,14,49,4,67,,,,,,
8,ARO,HODGDON/CARY PLT,127,710,22,859,,,,,,
8,ARO,ISLAND FALLS,114,320,12,446,,,,,,
8,ARO,MACWAHOC PLANTATION,11,29,2,42,,,,,,
8,ARO,ORIENT,17,62,6,85,,,,,,
8,ARO,REED PLANTATION,24,57,6,87,,,,,,
8,ARO,SHERMAN,99,372,21,492,,,,,,
8,ARO,WESTON,34,166,12,212,,,,,,
8,PEN,CARROLL PLANTATION,15,64,7,86,,,,,,
8,PEN,DREW TWP,5,10,2,17,,,,,,
8,PEN,KINGMAN TWP,6,62,9,77,,,,,,
8,PEN,LAKEVILLE,32,44,8,84,,,,,,
8,PEN,LEE,130,387,31,548,,,,,,
8,PEN,MATTAWAMKEAG,122,265,43,430,,,,,,
8,PEN,PRENTISS TWP,25,64,14,103,,,,,,
8,PEN,SPRINGFIELD,37,132,19,188,,,,,,
8,PEN,STACYVILLE,29,133,32,194,,,,,,
8,PEN,WEBSTER PLANTATION,6,32,5,43,,,,,,
8,WAS,DANFORTH/BROOKTON TWP,82,307,39,428,,,,,,
8,WAS,TALMADGE,6,28,3,37,,,,,,
8,WAS,TOPSFIELD/CODYVILLE TWP,19,101,4,124,,,,,,
8,WAS,VANCEBORO,27,51,10,88,,,,,,
8,WAS,WAITE,13,33,5,51,,,,,,
8,,STATE UOCAVA,14,9,1,24,,,,,,
,,TOTAL,1096,3865,348,5309,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"McGaw, Darin L.","Mingo, Arthur Kevin",Blank,TBC,,,,,,
,,,Baileyville,Calais,,,,,,,,
,,,Democratic,Republican,,,,,,,,
9,WAS,BAILEYVILLE,224,461,16,701,,,,,,
9,WAS,BARING PLANTATION,47,83,5,135,,,,,,
9,WAS,CALAIS,474,971,63,1508,,,,,,
9,WAS,EASTPORT,455,369,19,843,,,,,,
9,WAS,GRAND LAKE STREAM PLANTATION,23,73,13,109,,,,,,
9,WAS,INDIAN TOWNSHIP,131,120,28,279,,,,,,
9,WAS,MEDDYBEMPS,22,80,3,105,,,,,,
9,WAS,PERRY,148,346,21,515,,,,,,
9,WAS,PLEASANT POINT VOTING DISTRICT,123,97,32,252,,,,,,
9,WAS,ROBBINSTON,93,261,16,370,,,,,,
9,,STATE UOCAVA,51,17,9,77,,,,,,
,,TOTAL,1791,2878,225,4894,,,,,,
DIST,CTY,MUNICIPALITY,"Colman, Peter G.","Tuell, William R.",Blank,TBC,,,,,,
,,,Lubec,East Machias,,,,,,,,
,,,Democratic,Republican,,,,,,,,
10,WAS,ALEXANDER,51,265,29,345,,,,,,
10,WAS,CATHANCE TWP,5,9,2,16,,,,,,
10,WAS,CHARLOTTE,48,160,20,228,,,,,,
10,WAS,COOPER,17,76,4,97,,,,,,
10,WAS,CRAWFORD,12,56,7,75,,,,,,
10,WAS,CUTLER,62,255,26,343,,,,,,
10,WAS,DENNYSVILLE/EDMUNDS TWP,60,259,18,337,,,,,,
10,WAS,EAST MACHIAS,174,644,37,855,,,,,,
10,WAS,GREENLAW CHOPPING TWP,3,9,3,15,,,,,,
10,WAS,LUBEC,321,555,40,916,,,,,,
10,WAS,MACHIASPORT,137,419,32,588,,,,,,
10,WAS,MARSHFIELD,42,286,14,342,,,,,,
10,WAS,NORTHFIELD,23,107,5,135,,,,,,
10,WAS,PEMBROKE,145,324,37,506,,,,,,
10,WAS,PRINCETON,89,358,48,495,,,,,,
10,WAS,WESLEY,16,72,10,98,,,,,,
10,WAS,WHITING,109,269,10,388,,,,,,
10,,STATE UOCAVA,30,21,2,53,,,,,,
,,TOTAL,1344,4144,344,5832,,,,,,
DIST,CTY,MUNICIPALITY,"Rogers, Roland Eben","Strout, Tiffany ",Blank,TBC,,,,,,
,,,Jonesport,Harrington,,,,,,,,
,,,Democratic,Republican,,,,,,,,
11,WAS,ADDISON,197,506,53,756,,,,,,
11,WAS,BEALS,82,189,20,291,,,,,,
11,WAS,CENTERVILLE TWP,2,12,3,17,,,,,,
11,WAS,COLUMBIA,39,190,15,244,,,,,,
11,WAS,COLUMBIA FALLS,77,247,20,344,,,,,,
11,WAS,HARRINGTON,112,426,21,559,,,,,,
11,WAS,JONESBORO,97,241,18,356,,,,,,
11,WAS,JONESPORT,228,473,76,777,,,,,,
11,WAS,MACHIAS,334,535,99,968,,,,,,
11,WAS,MILBRIDGE,219,476,97,792,,,,,,
11,WAS,ROQUE BLUFFS,86,116,11,213,,,,,,
11,WAS,WHITNEYVILLE,41,70,7,118,,,,,,
11,,STATE UOCAVA,28,2,3,33,,,,,,
,,TOTAL,1542,3483,443,5468,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Bamford, Norman Edward","Faulkingham, Billy Bob",Blank,TBC,,,,,,
,,,Sullivan,Winter Harbor,,,,,,,,
,,,Democratic,Republican,,,,,,,,
12,HAN,FRANKLIN,362,574,35,971,,,,,,
12,HAN,GOULDSBORO,431,698,30,1159,,,,,,
12,HAN,HANCOCK,560,864,94,1518,,,,,,
12,HAN,SORRENTO,82,109,8,199,,,,,,
12,HAN,SULLIVAN,308,429,30,767,,,,,,
12,HAN,WINTER HARBOR,112,210,10,332,,,,,,
12,WAS,STEUBEN,238,484,22,744,,,,,,
12,,STATE UOCAVA,59,10,3,72,,,,,,
,,TOTAL,2152,3378,232,5762,,,,,,
DIST,CTY,MUNICIPALITY,"White, Russell P.","Worth, J. Mark",Blank,TBC,,,,,,
,,,Ellsworth,Ellsworth,,,,,,,,
,,,Republican,Democratic,,,,,,,,
13,HAN,ELLSWORTH/FLETCHERS LANDING TWP,2574,2231,226,5031,,,,,,
13,HAN,WALTHAM,184,60,13,257,,,,,,
13,,STATE UOCAVA,10,26,5,41,,,,,,
,,TOTAL,2768,2317,244,5329,,,,,,
DIST,CTY,MUNICIPALITY,"Friedmann, Gary ","Gray, Sandra J.",Blank,TBC,,,,,,
,,,Bar Harbor,Lamoine,,,,,,,,
,,,Democratic,Republican,,,,,,,,
14,HAN,BAR HARBOR,2528,936,194,3658,,,,,,
14,HAN,CRANBERRY ISLES,93,32,6,131,,,,,,
14,HAN,LAMOINE,568,637,35,1240,,,,,,
14,HAN,MOUNT DESERT,981,375,56,1412,,,,,,
14,,STATE UOCAVA,121,9,4,134,,,,,,
,,TOTAL,4291,1989,295,6575,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Eaton, Holly Rae","Joyce, Jason  M.",Blank,TBC,,,,,,
,,,Deer Isle,Swan's Island,,,,,,,,
,,,Democratic,Independent,,,,,,,,
15,HAN,BROOKLIN,418,217,19,654,,,,,,
15,HAN,DEER ISLE,662,651,48,1361,,,,,,
15,HAN,FRENCHBORO,13,14,4,31,,,,,,
15,HAN,SOUTHWEST HARBOR,617,495,36,1148,,,,,,
15,HAN,STONINGTON,329,285,33,647,,,,,,
15,HAN,SWAN'S ISLAND,109,174,11,294,,,,,,
15,HAN,TREMONT,468,530,62,1060,,,,,,
15,KNO,ISLE AU HAUT,43,17,4,64,,,,,,
15,KNO,VINALHAVEN,360,421,46,827,,,,,,
15,,STATE UOCAVA,93,18,7,118,,,,,,
,,TOTAL,3112,2822,270,6204,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Milliken, Nina Azella",Blank,TBC,,,,,,,
,,,Blue Hill,,,,,,,,,
,,,Democratic,,,,,,,,,
16,HAN,BLUE HILL,1547,521,2068,,,,,,,
16,HAN,BROOKSVILLE,499,191,690,,,,,,,
16,HAN,CASTINE,433,119,552,,,,,,,
16,HAN,SEDGWICK,595,283,878,,,,,,,
16,HAN,SURRY,762,406,1168,,,,,,,
16,HAN,TRENTON,621,409,1030,,,,,,,
16,,STATE UOCAVA,118,8,126,,,,,,,
,,TOTAL,4575,1937,6512,,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Bishop, Steven M.","Russell, Ronald B.",Blank,TBC,,,,,,
,,,Bucksport,Verona Island,,,,,,,,
,,,Republican,Democratic,,,,,,,,
17,HAN,BUCKSPORT,1545,1298,112,2955,,,,,,
17,HAN,ORLAND,786,721,52,1559,,,,,,
17,HAN,PENOBSCOT,347,474,25,846,,,,,,
17,HAN,VERONA ISLAND,180,176,12,368,,,,,,
17,,STATE UOCAVA,4,33,1,38,,,,,,
,,TOTAL,2862,2702,202,5766,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"McIntyre, Mathew David",Blank,TBC,,,,,,,
,,,Lowell,,,,,,,,,
,,,Republican,,,,,,,,,
18,HAN,AMHERST,155,56,211,,,,,,,
18,HAN,AURORA,54,22,76,,,,,,,
18,HAN,DEDHAM,797,403,1200,,,,,,,
18,HAN,EASTBROOK,189,70,259,,,,,,,
18,HAN,GREAT POND,34,10,44,,,,,,,
18,HAN,MARIAVILLE,234,108,342,,,,,,,
18,HAN,OSBORN,39,10,49,,,,,,,
18,HAN,OTIS,379,129,508,,,,,,,
18,HAN,T3 ND TWP,6,2,8,,,,,,,
18,HAN,T7 SD TWP,4,1,5,,,,,,,
18,HAN,T22 MD TWP,2,0,2,,,,,,,
18,HAN,T9/T10 SD TWP,4,4,8,,,,,,,
18,HAN,T10 SD TWP (MILBRIDGE),0,1,1,,,,,,,
18,PEN,BURLINGTON,200,49,249,,,,,,,
18,PEN,CLIFTON,413,131,544,,,,,,,
18,PEN,GREENBUSH,545,205,750,,,,,,,
18,PEN,GREENFIELD TWP,129,44,173,,,,,,,
18,PEN,LOWELL,225,47,272,,,,,,,
18,PEN,PASSADUMKEAG,177,67,244,,,,,,,
18,WAS,BEDDINGTON,49,19,68,,,,,,,
18,WAS,CHERRYFIELD,438,246,684,,,,,,,
18,WAS,DAY BLOCK TWP,5,4,9,,,,,,,
18,WAS,DEBLOIS,34,9,43,,,,,,,
18,WAS,SAKOM TWP,1,0,1,,,,,,,
18,,STATE UOCAVA,13,20,33,,,,,,,
,,TOTAL,4126,1657,5783,,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Campbell, Richard H.",Blank,TBC,,,,,,,
,,,Orrington,,,,,,,,,
,,,Republican,,,,,,,,,
19,PEN,EDDINGTON,1119,382,1501,,,,,,,
19,PEN,HOLDEN,1460,687,2147,,,,,,,
19,PEN,ORRINGTON,1927,747,2674,,,,,,,
19,,STATE UOCAVA,14,14,28,,,,,,,
,,TOTAL,4520,1830,6350,,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Jude, Patrick ","O'Halloran, Dani L.",Blank,TBC,,,,,,
,,,Brewer,Brewer,,,,,,,,
,,,Republican,Democratic,,,,,,,,
20,PEN,BREWER,2442,2550,244,5236,,,,,,
20,,STATE UOCAVA,14,25,1,40,,,,,,`
,,TOTAL,2456,2575,245,5276,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Edelman, Reda H.","Lapointe, Colby Michael","Rana, Ambureen",Blank,TBC,,,,,
,,,Bangor,Bangor,Bangor,,,,,,,
,,,Republican,Independent,Democratic,,,,,,,
21,PEN,BANGOR,1425,518,2325,234,4502,,,,,
21,,STATE UOCAVA,4,5,33,3,45,,,,,
,,TOTAL,1429,523,2358,237,4547,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"O'Neal, Colleen T.","Supica, Laura D.",Blank,TBC,,,,,,
,,,Bangor,Bangor,,,,,,,,
,,,Republican,Democratic,,,,,,,,
22,PEN,BANGOR,1726,2062,233,4021,,,,,,
22,,STATE UOCAVA,3,19,0,22,,,,,,
,,TOTAL,1729,2081,233,4043,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Cartier, Justin P.","Roeder, Amy J.",Blank,TBC,,,,,,
,,,Bangor,Bangor,,,,,,,,
,,,Republican,Democratic,,,,,,,,
23,PEN,BANGOR,2291,2916,257,5464,,,,,,
23,,STATE UOCAVA,5,45,3,53,,,,,,
,,TOTAL,2296,2961,260,5517,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"LaPointe, Daniel  ","Perry, Joseph C.",Blank,TBC,,,,,,
,,,Orono,Bangor,,,,,,,,
,,,Republican,Democratic,,,,,,,,
24,PEN,BANGOR,737,1265,109,2111,,,,,,
24,PEN,BREWER,64,70,7,141,,,,,,
24,PEN,ORONO,410,1061,91,1562,,,,,,
24,PEN,VEAZIE,473,663,60,1196,,,,,,
24,,STATE UOCAVA,13,45,6,64,,,,,,
,,TOTAL,1697,3104,273,5074,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Casey, Thomas  J.","Osher, Laurie ",Blank,TBC,,,,,,
,,,Orono,Orono,,,,,,,,
,,,Republican,Democratic,,,,,,,,
25,PEN,ORONO,1180,2419,310,3909,,,,,,
25,,STATE UOCAVA,5,46,5,56,,,,,,
,,TOTAL,1185,2465,315,3965,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Dill, James F.","Ouellette, Christina M.",Blank,TBC,,,,,,
,,,Old Town,Bradley,,,,,,,,
,,,Democratic,Republican,,,,,,,,
26,PEN,BRADLEY,346,574,36,956,,,,,,
26,PEN,OLD TOWN,2364,1521,174,4059,,,,,,
26,PEN,PENOBSCOT NATION VOTING DISTRICT,221,60,37,318,,,,,,
26,,STATE UOCAVA,27,1,5,33,,,,,,
,,TOTAL,2958,2156,252,5366,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Crockett, Peter Alan","Drinkwater, Gary A.",Blank,TBC,,,,,,
,,,Argyle Township,Milford,,,,,,,,
,,,Democratic,Republican,,,,,,,,
27,PEN,ALTON,149,353,42,544,,,,,,
27,PEN,ARGYLE TWP,50,60,8,118,,,,,,
27,PEN,BRADFORD,110,409,30,549,,,,,,
27,PEN,CORINTH,304,1221,87,1612,,,,,,
27,PEN,HUDSON,184,657,36,877,,,,,,
27,PEN,MILFORD,582,1064,88,1734,,,,,,
27,,STATE UOCAVA,14,6,1,21,,,,,,
,,TOTAL,1393,3770,292,5455,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"DiPentino, Natalie D.","Gifford, Irene A.",Blank,TBC,,,,,,
,,,Enfield ,Lincoln,,,,,,,,
,,,Democratic,Republican,,,,,,,,
28,PEN,EDINBURG,27,70,4,101,,,,,,
28,PEN,ENFIELD,253,630,29,912,,,,,,
28,PEN,HOWLAND,194,433,64,691,,,,,,
28,PEN,LAGRANGE,93,232,31,356,,,,,,
28,PEN,LINCOLN,570,1972,286,2828,,,,,,
28,PEN,MATTAMISCONTIS TWP,7,49,1,57,,,,,,
28,PEN,MAXFIELD,17,52,5,74,,,,,,
28,PEN,SEBOEIS PLANTATION,5,22,0,27,,,,,,
28,PEN,WINN,38,166,8,212,,,,,,
28,,STATE UOCAVA,6,16,0,22,,,,,,
,,TOTAL,1210,3642,428,5280,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Javner, Kathy Irene","York , Laurie  E.",Blank,TBC,,,,,,
,,,Chester,TA R7 Wels (Dolby),,,,,,,,
,,,Republican,Democratic,,,,,,,,
29,PEN,CHESTER,259,40,18,317,,,,,,
29,PEN,EAST MILLINOCKET,503,372,49,924,,,,,,
29,PEN,HERSEYTOWN TWP,12,1,1,14,,,,,,
29,PEN,MEDWAY,478,216,52,746,,,,,,
29,PEN,MILLINOCKET,1304,1160,129,2593,,,,,,
29,PEN,MOUNT CHASE,106,41,8,155,,,,,,
29,PEN,PATTEN,343,138,33,514,,,,,,
29,PEN,WOODVILLE,111,21,16,148,,,,,,
29,,STATE UOCAVA,1,20,1,22,,,,,,
,,TOTAL,3117,2009,307,5433,,,,,,
DIST,CTY,MUNICIPALITY,"Sidell, W. Louis","White, James L.",Blank,TBC,,,,,,
,,,Guilford ,Guilford,,,,,,,,
,,,Democratic,Republican,,,,,,,,
30,PIS,ABBOT,109,284,16,409,,,,,,
30,PIS,BEAVER COVE,48,63,6,117,,,,,,
30,PIS,BOWERBANK,39,80,9,128,,,,,,
30,PIS,BROWNVILLE TWPS,33,93,12,138,,,,,,
30,PIS,GREENVILLE,398,672,131,1201,,,,,,
30,PIS,GUILFORD/KINGSBURY PLT,233,516,51,800,,,,,,
30,PIS,MONSON,166,332,27,525,,,,,,
30,PIS,PARKMAN,125,346,21,492,,,,,,
30,PIS,PISCATAQUIS TWPS,23,63,5,91,,,,,,
30,PIS,SANGERVILLE,215,522,32,769,,,,,,
30,PIS,SEBEC,104,306,19,429,,,,,,
30,PIS,SHIRLEY,42,117,9,168,,,,,,
30,PIS,WELLINGTON,50,80,14,144,,,,,,
30,PIS,WILLIMANTIC,19,69,8,96,,,,,,
30,SOM,BRIGHTON PLANTATION,15,21,7,43,,,,,,
30,SOM,CAMBRIDGE,55,180,20,255,,,,,,
30,,STATE UOCAVA,14,8,3,25,,,,,,
,,TOTAL,1688,3752,390,5830,,,,,,
DIST,CTY,MUNICIPALITY,"Brown, Joseph Thomas","Perkins, Chad R.",Blank,TBC,,,,,,
,,,Orneville Township,Dover-Foxcroft,,,,,,,,
,,,Democratic,Republican,,,,,,,,
31,PIS,ATKINSON TOWNSHIP,52,113,7,172,,,,,,
31,PIS,BROWNVILLE,288,364,20,672,,,,,,
31,PIS,DOVER-FOXCROFT,749,1590,110,2449,,,,,,
31,PIS,LAKE VIEW PLANTATION,48,89,4,141,,,,,,
31,PIS,MEDFORD,56,115,12,183,,,,,,
31,PIS,MILO/ORNEVILLE TWP,562,679,45,1286,,,,,,
31,,STATE UOCAVA,26,10,1,37,,,,,,
,,TOTAL,1781,2960,199,4940,,,,,,
DIST,CTY,MUNICIPALITY,"Foster, Steven D.",Blank,TBC,,,,,,,
,,,Dexter,,,,,,,,,
,,,Republican,,,,,,,,,
32,PEN,BRADFORD,125,49,174,,,,,,,
32,PEN,CHARLESTON,631,168,799,,,,,,,
32,PEN,DEXTER,1615,400,2015,,,,,,,
32,PEN,EXETER,462,100,562,,,,,,,
32,PEN,GARLAND,530,117,647,,,,,,,
32,PEN,STETSON,630,180,810,,,,,,,
32,,STATE UOCAVA,19,16,35,,,,,,,
,,TOTAL,4012,1030,5042,,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Fredette, Kenneth Wade",Blank,TBC,,,,,,,
,,,Newport,,,,,,,,,
,,,Republican,,,,,,,,,
33,PEN,CORINNA,1051,191,1242,,,,,,,
33,PEN,DIXMONT,561,199,760,,,,,,,
33,PEN,ETNA,569,162,731,,,,,,,
33,PEN,NEWPORT,1479,395,1874,,,,,,,
33,PEN,PLYMOUTH,633,150,783,,,,,,,
33,,STATE UOCAVA,14,7,21,,,,,,,
,,TOTAL,4307,1104,5411,,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Griffin, Abigail W.",Blank,TBC,,,,,,,
,,,Levant,,,,,,,,,
,,,Republican,,,,,,,,,
34,PEN,GLENBURN,2207,703,2910,,,,,,,
34,PEN,KENDUSKEAG,637,169,806,,,,,,,
34,PEN,LEVANT,1411,364,1775,,,,,,,
34,,STATE UOCAVA,13,4,17,,,,,,,
,,TOTAL,4268,1240,5508,,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Thorne, James E.",Blank,TBC,,,,,,,
,,,Carmel,,,,,,,,,
,,,Republican,,,,,,,,,
35,PEN,CARMEL,1475,372,1847,,,,,,,
35,PEN,HERMON,3138,1018,4156,,,,,,,
35,,STATE UOCAVA,11,7,18,,,,,,,
,,TOTAL,4624,1397,6021,,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Haggan, Kimberly M.","Wright, Shelby D.",Blank,TBC,,,,,,
,,,Hampden,Hampden,,,,,,,,
,,,Republican,Independent,,,,,,,,
36,PEN,HAMPDEN,2669,2297,175,5141,,,,,,
36,PEN,NEWBURGH,639,388,43,1070,,,,,,
36,,STATE UOCAVA,11,27,6,44,,,,,,
,,TOTAL,3319,2712,224,6255,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Cuddy, Scott William","Paul, Reagan L.",Blank,TBC,,,,,,
,,,Winterport,Winterport,,,,,,,,
,,,Democratic,Republican,,,,,,,,
37,WAL,FRANKFORT,139,260,9,408,,,,,,
37,WAL,PROSPECT,169,265,20,454,,,,,,
37,WAL,SEARSPORT,850,796,80,1726,,,,,,
37,WAL,STOCKTON SPRINGS,538,589,46,1173,,,,,,
37,WAL,WINTERPORT,1003,1360,43,2406,,,,,,
37,,STATE UOCAVA,22,8,0,30,,,,,,
,,TOTAL,2721,3278,198,6197,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Ellis, Stephen B.","Hymes, Benjamin C.",Blank,TBC,,,,,,
,,,Waldo,Waldo,,,,,,,,
,,,Democratic,Republican,,,,,,,,
38,WAL,BROOKS,271,337,19,627,,,,,,
38,WAL,FRANKFORT,94,194,18,306,,,,,,
38,WAL,JACKSON,153,187,16,356,,,,,,
38,WAL,KNOX,152,311,26,489,,,,,,
38,WAL,MONROE,313,276,33,622,,,,,,
38,WAL,SWANVILLE,386,462,55,903,,,,,,
38,WAL,THORNDIKE,205,239,23,467,,,,,,
38,WAL,UNITY,422,497,53,972,,,,,,
38,WAL,WALDO,232,262,22,516,,,,,,
38,,STATE UOCAVA,21,4,4,29,,,,,,
